symbol,date,underlying_open,underlying_high,underlying_low,underlying_close,underlying_volume,contract_type,option_ticker,expiration_date,strike_price,option_open,option_high,option_low,option_close,option_volume,option_vwap,option_transactions,missing_reason
GDX,2026-04-20,99.455,99.55,98.1,99.13,11897956.636337,call,O:GDX260424C00099000,2026-04-24,99,2.46,2.46,1.92,2.17,296,2.0615,71,
GDX,2026-04-20,99.455,99.55,98.1,99.13,11897956.636337,put,O:GDX260424P00099000,2026-04-24,99,2.4,2.56,1.87,1.87,147,2.1052,42,
GDX,2026-04-21,97.89,98.48,92.69,92.99,31531455.766664,call,O:GDX260424C00093000,2026-04-24,93,4.88,4.88,2.51,2.55,76,2.667,13,
GDX,2026-04-21,97.89,98.48,92.69,92.99,31531455.766664,put,O:GDX260424P00093000,2026-04-24,93,0.4,2.04,0.3,2.04,3303,1.2321,177,
GDX,2026-04-22,95.04,95.76,94.04,94.48,14371294.891887,call,O:GDX260424C00094000,2026-04-24,94,2.44,2.47,1.82,1.83,45,1.9184,15,
GDX,2026-04-22,95.04,95.76,94.04,94.48,14371294.891887,put,O:GDX260424P00094000,2026-04-24,94,1.67,1.67,1.01,1.35,207,1.2541,41,
GDX,2026-04-23,93.33,94,90.2,92.19,27735573.829885,call,O:GDX260424C00092000,2026-04-24,92,2.19,2.19,0.63,1.3,504,1.4538,218,
GDX,2026-04-23,93.33,94,90.2,92.19,27735573.829885,put,O:GDX260424P00092000,2026-04-24,92,0.75,2.08,0.57,1,518,1.2288,103,
GDX,2026-04-24,93.15,94.51,92.215,94.34,16967416.566612,call,O:GDX260424C00094000,2026-04-24,94,0.16,1.06,0.16,0.34,1397,0.4967,161,
GDX,2026-04-24,93.15,94.51,92.215,94.34,16967416.566612,put,O:GDX260424P00094000,2026-04-24,94,1.9,1.9,0.03,0.03,635,0.5741,136,
GDX,2026-04-27,93.42,93.47,92.12,92.59,12009652.799252,call,,,,,,,,,,,no_contract_found
GDX,2026-04-27,93.42,93.47,92.12,92.59,12009652.799252,put,,,,,,,,,,,no_contract_found
IBIT,2026-04-20,42.65,43.3765,42.345,43.25,37820890.663307,call,O:IBIT260420C00043000,2026-04-20,43,0.16,0.39,0.03,0.2,15321,0.1635,1027,
IBIT,2026-04-20,42.65,43.3765,42.345,43.25,37820890.663307,put,O:IBIT260420P00043000,2026-04-20,43,0.57,0.65,0.01,0.01,5650,0.2343,427,
IBIT,2026-04-21,43.11,43.42,42.4,42.51,30898345.726252,call,O:IBIT260422C00042500,2026-04-22,42.5,0.8,1.05,0.37,0.6,8639,0.6093,268,
IBIT,2026-04-21,43.11,43.42,42.4,42.51,30898345.726252,put,O:IBIT260422P00042500,2026-04-22,42.5,0.23,0.46,0.16,0.35,3247,0.3019,363,
IBIT,2026-04-22,44.5,45.075,44.38,44.75,51415280.694798,call,O:IBIT260422C00044500,2026-04-22,44.5,0.25,0.61,0.18,0.18,15083,0.3323,930,
IBIT,2026-04-22,44.5,45.075,44.38,44.75,51415280.694798,put,O:IBIT260422P00044500,2026-04-22,44.5,0.36,0.36,0.01,0.02,27110,0.1005,831,
IBIT,2026-04-23,43.99,44.61,43.62,44.05,40169242.007923,call,O:IBIT260424C00044000,2026-04-24,44,0.48,0.8,0.31,0.45,10750,0.5158,1192,
IBIT,2026-04-23,43.99,44.61,43.62,44.05,40169242.007923,put,O:IBIT260424P00044000,2026-04-24,44,0.5,0.63,0.19,0.32,7836,0.3656,587,
