symbol       date side   strike   sigma   open_m   open_r  close_m  close_r   high_m   high_r    low_m    low_r
---------------------------------------------------------------------------------------------------------------
   GDX 2026-04-20 call    99.00   0.441    2.088    2.460    1.913    2.170    2.141    2.460    1.419    1.920
   GDX 2026-04-20  put    99.00   0.441    1.590    2.400    1.740    1.870    1.548    2.560    2.276    1.870
   GDX 2026-04-21 call    93.00   0.500    5.196    4.880    1.692    2.550    5.721    4.880    1.543    2.510
   GDX 2026-04-21  put    93.00   0.500    0.275    0.400    1.671    2.040    0.210    2.040    1.822    0.300
   GDX 2026-04-22 call    94.00   0.501    1.992    2.440    1.659    1.830    2.470    2.470    1.422    1.820
   GDX 2026-04-22  put    94.00   0.501    0.932    1.670    1.158    1.350    0.690    1.670    1.361    1.010
   GDX 2026-04-23 call    92.00   0.502    1.962    2.190    1.266    1.300    2.445    2.190    0.470    0.630
   GDX 2026-04-23  put    92.00   0.502    0.617    0.750    1.062    1.000    0.430    2.080    2.255    0.570
   GDX 2026-04-24 call    94.00   0.470    0.737    0.160    1.298    0.340    1.395    1.060    0.433    0.160
   GDX 2026-04-24  put    94.00   0.470    1.572    1.900    0.943    0.030    0.870    1.900    2.203    0.030
  IBIT 2026-04-20 call    43.00   0.334    0.214    0.160    0.505    0.200    0.586    0.390    0.124    0.030
  IBIT 2026-04-20  put    43.00   0.334    0.557    0.570    0.248    0.010    0.203    0.650    0.772    0.010
  IBIT 2026-04-21 call    42.50   0.343    0.756    0.800    0.374    0.600    1.004    1.050    0.321    0.370
  IBIT 2026-04-21  put    42.50   0.343    0.139    0.230    0.358    0.350    0.077    0.460    0.414    0.160
  IBIT 2026-04-22 call    44.50   0.372    0.420    0.250    0.558    0.180    0.773    0.610    0.362    0.180
  IBIT 2026-04-22  put    44.50   0.372    0.413    0.360    0.301    0.020    0.191    0.360    0.475    0.010
  IBIT 2026-04-23 call    44.00   0.375    0.413    0.480    0.444    0.450    0.797    0.800    0.253    0.310
  IBIT 2026-04-23  put    44.00   0.375    0.416    0.500    0.387    0.320    0.180    0.630    0.626    0.190
  IBIT 2026-04-24 call    44.00   0.347    0.571    0.390    0.397    0.030    0.629    0.510    0.316    0.020
  IBIT 2026-04-24  put    44.00   0.347    0.244    0.160    0.370    0.050    0.212    0.210    0.459    0.040
  IBIT 2026-04-27 call    43.50   0.314    0.682    0.630    0.378    0.090    0.948    0.890    0.265    0.020
  IBIT 2026-04-27  put    43.50   0.314    0.140    0.090    0.311    0.010    0.071    0.280    0.433    0.010
   IWM 2026-04-20 call   277.00   0.220    0.639    0.280    1.735    0.360    1.911    0.850    0.607    0.130
   IWM 2026-04-20  put   277.00   0.220    2.945    2.270    1.341    0.010    1.202    2.770    3.033    0.010
   IWM 2026-04-21 call   275.00   0.221    3.650    3.490    1.310    1.030    5.027    4.710    0.996    0.030
   IWM 2026-04-21  put   275.00   0.221    0.432    0.190    1.756    0.110    0.193    1.330    2.193    0.030
   IWM 2026-04-22 call   276.00   0.221    2.488    2.120    1.808    0.160    2.776    2.450    1.057    0.090
   IWM 2026-04-22  put   276.00   0.221    0.854    0.560    1.284    0.080    0.722    1.250    2.113    0.020
   IWM 2026-04-23 call   276.00   0.221    1.954    1.680    1.324    0.010    2.681    1.990    0.289    0.010
   IWM 2026-04-23  put   276.00   0.221    1.180    0.780    1.760    1.070    0.768    4.050    4.295    0.150
   IWM 2026-04-24 call   277.00   0.205    1.290    0.960    1.280    0.010    2.095    1.420    0.456    0.010
   IWM 2026-04-24  put   277.00   0.205    1.576    1.600    1.586    0.550    0.921    2.910    3.182    0.160
   IWM 2026-04-27 call   277.00   0.187    1.233    0.840    1.395    0.230    2.045    1.760    0.976    0.160
   IWM 2026-04-27  put   277.00   0.187    1.369    0.930    1.211    0.210    0.761    1.310    1.682    0.200
   QQQ 2026-04-20 call   647.00   0.221    4.203    2.600    3.546    0.060    4.612    3.070    1.816    0.050
   QQQ 2026-04-20  put   647.00   0.221    3.060    1.560    3.653    0.340    2.750    4.700    6.193    0.260
   QQQ 2026-04-21 call   644.00   0.223    6.314    5.000    3.828    2.950    7.614    6.300    2.821    0.220
   QQQ 2026-04-21  put   644.00   0.223    1.802    0.620    3.396    0.090    1.312    2.180    4.508    0.030
   QQQ 2026-04-22 call   655.00   0.222    1.756    0.280    3.770    0.890    3.884    1.410    1.309    0.110
   QQQ 2026-04-22  put   655.00   0.222    6.502    5.160    3.556    0.130    3.450    6.530    7.685    0.070
   QQQ 2026-04-23 call   651.00   0.226    5.182    3.280    3.967    1.080    7.478    5.790    1.602    0.200
   QQQ 2026-04-23  put   651.00   0.226    2.529    1.460    3.444    0.130    1.454    5.810    6.979    0.050
   QQQ 2026-04-24 call   664.00   0.203    1.336    0.230    3.372    0.090    3.697    1.160    0.887    0.050
   QQQ 2026-04-24  put   664.00   0.203    6.721    5.400    3.387    0.520    3.082    7.270    8.251    0.290
   QQQ 2026-04-27 call   664.00   0.178    2.727    1.630    3.141    0.230    3.246    1.830    1.631    0.210
   QQQ 2026-04-27  put   664.00   0.178    3.222    2.200    2.805    0.470    2.710    3.800    4.836    0.280
   SPY 2026-04-20 call   709.00   0.179    3.134    1.520    3.104    0.050    3.727    1.940    1.995    0.020
   SPY 2026-04-20  put   709.00   0.179    3.241    1.690    3.272    0.420    2.705    3.230    4.742    0.270
   SPY 2026-04-21 call   704.00   0.182    7.380    6.190    3.308    2.830    8.180    7.370    2.623    0.200
   SPY 2026-04-21  put   704.00   0.182    0.988    0.200    3.116    0.130    0.793    1.600    3.871    0.030
   SPY 2026-04-22 call   711.00   0.181    2.435    0.790    3.398    0.080    3.523    1.120    2.067    0.070
   SPY 2026-04-22  put   711.00   0.181    4.172    2.610    3.075    0.550    2.961    3.240    4.734    0.100
   SPY 2026-04-23 call   708.00   0.183    4.131    2.560    3.549    0.240    5.980    4.440    1.184    0.230
   SPY 2026-04-23  put   708.00   0.183    2.519    1.160    2.986    0.610    1.508    5.910    6.791    0.130
   SPY 2026-04-24 call   714.00   0.164    1.636    0.570    2.975    0.120    3.250    1.420    1.121    0.070
   SPY 2026-04-24  put   714.00   0.164    4.772    3.590    2.922    0.370    2.667    5.120    5.998    0.150
   SPY 2026-04-27 call   715.00   0.143    1.792    0.700    2.707    0.280    2.953    1.000    1.468    0.220
   SPY 2026-04-27  put   715.00   0.143    3.509    2.500    2.424    0.310    2.209    2.890    4.060    0.250
   TLT 2026-04-20 call    87.00   0.095    0.277    0.170    0.242    0.030    0.286    0.210    0.099    0.020
   TLT 2026-04-20  put    87.00   0.095    0.153    0.090    0.178    0.030    0.147    0.310    0.375    0.010
   TLT 2026-04-21 call    86.50   0.095    0.533    0.540    0.252    0.280    0.637    0.590    0.230    0.250
   TLT 2026-04-21  put    86.50   0.095    0.050    0.080    0.168    0.180    0.032    0.210    0.186    0.060
   TLT 2026-04-22 call    86.50   0.094    0.599    0.500    0.356    0.200    0.692    0.650    0.332    0.200
   TLT 2026-04-22  put    86.50   0.094    0.036    0.020    0.102    0.010    0.023    0.030    0.114    0.010
   TLT 2026-04-23 call    86.50   0.088    0.407    0.460    0.225    0.290    0.583    0.580    0.092    0.130
   TLT 2026-04-23  put    86.50   0.088    0.068    0.100    0.161    0.180    0.030    0.360    0.339    0.040
   TLT 2026-04-24 call    86.50   0.083    0.166    0.150    0.313    0.150    0.394    0.340    0.085    0.080
   TLT 2026-04-24  put    86.50   0.083    0.193    0.190    0.089    0.010    0.060    0.320    0.321    0.010
   TLT 2026-04-27 call    86.50   0.082    0.180    0.110    0.094    0.010    0.253    0.170    0.068    0.010
   TLT 2026-04-27  put    86.50   0.082    0.177    0.130    0.300    0.200    0.120    0.320    0.362    0.060
   VXX 2026-04-20 call    29.50   0.689    0.751    0.650    0.770    0.620    1.059    0.920    0.709    0.530
   VXX 2026-04-20  put    29.50   0.689    0.948    0.870    0.928    0.520    0.677    0.880    0.996    0.520
   VXX 2026-04-21 call    30.00   0.683    0.438    0.400    0.690    0.600    0.968    0.950    0.418    0.380
   VXX 2026-04-21  put    30.00   0.683    1.128    1.080    0.790    0.820    0.558    1.080    1.163    0.600
   VXX 2026-04-22 call    29.50   0.676    0.446    0.500    0.618    0.500    0.805    0.720    0.413    0.360
   VXX 2026-04-22  put    29.50   0.676    0.750    0.690    0.561    0.450    0.419    0.690    0.796    0.420
   VXX 2026-04-23 call    29.50   0.674    0.622    0.470    0.502    0.430    1.533    1.420    0.467    0.320
   VXX 2026-04-23  put    29.50   0.674    0.397    0.320    0.497    0.410    0.083    0.410    0.532    0.060
   VXX 2026-04-24 call    30.00   0.619    0.240    0.150    0.369    0.010    0.396    0.190    0.137    0.010
